Station Gare;Gem. instappende tijdens het week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
AALST;7.462;2.223;1.864
AALST-KERREBROEK;20
AALTER;1.936;733;667
AARSCHOT;5.654;1.510;1.379
AARSELE;37
ACREN;226;51;27
AISEAU;47;11;12
ALKEN;530;128;191
AMAY;360;91;68
AMPSIN;203;39;36
ANDENNE;1.303;572;451
ANGLEUR;486;102;76
ANS;1.000;188;176
ANSEREMME;49;50;43
ANTOING;197;101;102
ANTWERPEN-BERCHEM;15.229;5.573;6.241
ANTWERPEN-CAAL;32.634;20.488;16.862
ANTWERPEN-HAVEN;83
ANTWERPEN-LUCHTBAL;180;96;55
ANTWERPEN-NOORDERDOKKEN;76;11;13
ANTWERPEN-ZUID;1.582;144;188
ANZEGEM;209
APPELTERRE;264;55;40
ARCHENNES;112;40;41
ARLON;4.100;851;1.830
ASSE;1.110;385;253
ASSESSE;162;57;27
ATH;5.483;1.001;806
ATHUS;790;151;82
AUBANGE;53
AUVELAIS;647;302;198
AYE;95;14;15
AYWAILLE;275;110;140
BAASRODE-ZUID;174
BALEGEM-DORP;349;85;51
BALEGEM-ZUID;183
BALEN;328;94;89
BAMBRUGGE;46
BARVAUX;324;110;158
BAS-OHA;59;9;25
BASSE-WAVRE;451;80;51
BEAURAING;230;97;229
BEERNEM;799;212;219
BEERSEL;273
BEERVELDE;224
BEGIJNENDIJK;338;109;87
BEIGNEE;32
BELLEM;235;66;48
BELSELE;226;45;76
BERCHEM-ST-AG.-BERCHEM;773;134;111
BERINGEN;79;26;44
BERLAAR;401;142;205
BERTRIX;461;129;241
BERZEE;250;30;31
BEUZET;176;24;16
BEVEREN;865;226;117
BEVERLO;168;59;50
BIERGES-WALIBI;119;667;304
BIERSET-AWANS;119;16;9
BILZEN;706;270;338
BINCHE;752;190;212
BISSEGEM;185;57;50
BLANKENBERGE;1.315;1.434;1.100
BLANMONT;206;27;38
BLATON;587;178;163
BLERET;41
BOCKSTAEL;1.171;120;106
BOECHOUT;540;116;176
BOITSFORT/BOSVOORDE;660;95;95
BOKRIJK;138;65;140
BOMAL;229;105;172
BOOISCHOT;333;112;89
BOOM;280
BOONDAEL/BOONDAAL;1.009
BOORTMEERBEEK;597;154;131
BORDET;672
BORNEM;748;256;245
BOUSSU;225;54;88
