Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
AALST;4.079;1.640;1.264
AALST-KERREBROEK;21;-;-
AALTER;1.353;472;458
AARSCHOT;2.485;1.259;872
AARSELE;21;-;-
ACREN;146;77;50
AISEAU;65;54;41
ALKEN;345;90;101
AMAY;204;80;48
AMPSIN;101;26;16
ANDENNE;1.082;334;367
ANGLEUR;448;87;129
ANS;605;113;87
ANSEREMME;55;60;34
ANTOING;222;74;88
ANTWERPEN-BERCHEM;9.322;5.008;4.918
ANTWERPEN-CAAL;18.626;13.566;10.187
ANTWERPEN-LUCHTBAL;393;98;50
ANTWERPEN-NOORDERDOKKEN;122;25;22
ANTWERPEN-ZUID;1.852;435;409
ANZEGEM;127;-;-
APPELTERRE;187;48;46
ARCADES;47;-;-
ARCHENNES;102;33;30
ARLON;2.269;690;2.032
ASSE;649;224;174
ASSESSE;143;33;32
ATH;3.665;1.699;1.860
ATHUS;769;311;152
AUBANGE;58;-;-
AUVELAIS;367;197;174
AYE;38;9;7
AYWAILLE;153;71;95
BAASRODE-ZUID;126;-;-
BALEGEM-DORP;165;42;33
BALEGEM-ZUID;116;-;-
BALEN;202;69;49
BAMBRUGGE;17;-;-
BARVAUX;209;96;114
BAS-OHA;44;5;11
BASSE-WAVRE;370;67;53
BEAURAING;209;102;99
BEERNEM;428;151;169
BEERSEL;229;43;43
BEERVELDE;148;42;29
BEGIJNENDIJK;162;88;67
BEIGNEE;9;-;-
BELLEM;91;40;25
BELSELE;168;55;33
BERCHEM-ST-AG.-BERCHEM;456;65;38
BERINGEN;69;36;21
Aantal instappende reizigers per station in 2020
Nombre de voyageurs montés par gare en 2020
Page 1 of 10
BERLAAR;229;120;147
BERTRIX;312;135;119
BERZEE;132;19;20
BEUZET;85;22;5
BEVEREN;774;128;106
BEVERLO;84;37;23
BIERGES-WALIBI;106;314;289
BIERSET-AWANS;103;25;29
BILZEN;387;154;265
BINCHE;237;124;108
BISSEGEM;230;72;67
BLANKENBERGE;1.190;829;1.339
BLANMONT;135;19;13
BLATON;390;113;137
BLERET;36;-;-
BOCKSTAEL;404;59;41
BOECHOUT;380;125;92
BOITSFORT/BOSVOORDE;557;138;166
BOKRIJK;70;30;55
BOMAL;184;58;89
BOOISCHOT;160;95;67
BOOM;291;114;84
BOONDAEL/BOONDAAL;730;179;106
BOORTMEERBEEK;333;63;61
BORDET;862;152;77
BORNEM;539;183;204
BOUSSU;155;61;46
BOUWEL;274;101;144
BRACQUEGNIES;114;18;26
BRAINE-l'ALLEUD;3.921;1.792;1.235
BRAINE-LE-COMTE;3.354;1.150;822
BRESSOUX;52;29;24
BRU.-CENT.;28.212;13.407;12.417
BRU.-CHAP./KAP.;123;-;-
BRU.-CONG.;277;-;-
BRU.-LUXEMBG;4.529;1.454;1.194
BRU.-MIDI/ZUID;31.006;17.165;15.038
BRU.-NOORD/NORD;26.188;9.709;8.780
BRU.-SCHUMAN;4.439;1.456;1.351
BRU.-WEST/OUEST;132;53;45
BRU. AIRPORT - ZAVENTEM;2.240;1.354;1.187
BRUGELETTE;231;29;21
BRUGGE;9.964;5.880;6.513
BRUGGE-SINT-PIETERS;37;175;155
BUDA;57;-;-
BUGGENHOUT;363;116;183
BUIZINGEN;360;126;72
BURST;473;88;89
CALLENELLE;13;-;-
CAMBRON-CASTEAU;76;94;113
CARLSBOURG;29;17;16
CARNIERES;99;30;20
CEROUX-MOUSTY;119;24;17
CHAPELLE-DIEU;35;-;-
CHAPOIS;37;7;4
CHARLEROI-OUEST;45;19;13
CHARLEROI-SUD;7.062;3.249;3.058
CHASTRE;256;72;39
Page 2 of 10
CHATEAU-DE-SEILLES;126;25;15
CHATELET;399;307;287
CHAUDFONTAINE;41;40;23
CHENEE;73;27;19
CINEY;1.527;720;782
COMBLAIN-LA-TOUR;82;20;27
COMINES/KOMEN;423;116;133
COO;31;41;37
COUILLET;54;-;-
COUR-SUR-HEURE;24;5;5
COURCELLES-MOTTE;113;23;17
COURRIERE;185;33;32
COURT-SAINT-ETIENNE;283;59;42
COUVIN;174;92;96
DAVE-SAINT-MARTIN;63;34;16
DE HOEK;137;99;69
DE PANNE;563;420;561
DE PINTE;993;272;217
DEINZE;1.327;1.067;1.146
DELTA;199;-;-
DENDERLEEUW;4.483;1.539;1.380
DENDERMONDE;3.333;1.042;967
DIEGEM;669;252;179
DIEPENBEEK;283;106;138
DIEST;1.710;631;682
DIKSMUIDE;428;224;361
DILBEEK;460;61;37
DINANT;943;815;678
DOLHAIN-GILEPPE;140;22;51
DRONGEN;230;36;40
DUFFEL;528;228;132
DUINBERGEN;172;128;82
ECAUSSINNES;501;174;167
EDE;207;-;-
EEKLO;643;291;185
EICHEM;60;30;29
EINE;248;94;75
EKE-NAZARETH;290;89;45
EKEREN;611;220;240
ENGHIEN/EDINGEN;2.523;761;636
ENGIS;122;62;25
EPPEGEM;498;108;86
ERBISOEUL;65;11;12
EREMBODEGEM;578;201;164
ERNAGE;71;14;5
ERPE-MERE;41;-;-
ERPS-KWERPS;122;43;44
ERQUELINNES;200;76;47
ERQUELINNES-VILLAGE;36;27;19
