Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche;
AALST 5.827;2.271;1.942
AALST-KERREBROEK 20;-;-
AALTER 2.021;794;807
AARSCHOT 5.240;2.269;2.038
AARSELE 24;-;-
ACREN 231;93;113
AISEAU 157;31;41
ALKEN 609;231;222
AMAY 314;86;67
AMPSIN 211;55;47
ANDENNE 1.651;305;333
ANDERLECHT 699;205;164
ANGLEUR 878;163;181
ANS 1.639;169;130
ANSEREMME 172;54;49
ANTOING 387;174;183
ANTWERPEN-BERCHEM 14.747;11.372;10.689
ANTWERPEN-CAAL 37.591;25.163;21.350
ANTWERPEN-LUCHTBAL 532;127;117
ANTWERPEN-NOORDERDOKKEN 96;21;21
ANTWERPEN-ZUID 3.338;658;808
ANZEGEM 247;-;-
APPELTERRE 310;57;64
ARCADES 92;-;-
ARCHENNES 157;62;53
ARLON 5.294;1.441;3.285
ASSE 1.223;173;161
ASSESSE 222;42;37
ATH 4.287;2.385;2.455
ATHUS 970;282;351
AUBANGE 90;21;14
AUVELAIS 562;261;220
AYE 28;10;5
AYWAILLE 370;85;147
BAASRODE-ZUID 195;-;-
BALEGEM-DORP 273;80;54
BALEGEM-ZUID 171;57;49
BALEN 257;128;100
BAMBRUGGE 31;-;-
BARVAUX 523;104;138
BAS-OHA 66;3;13
BASSE-WAVRE 478;137;108
BEAURAING 295;120;86
BEERNEM 647;137;166
BEERSEL 270;82;89
BEERVELDE 547;112;130
BEGIJNENDIJK 257;129;94
BEIGNEE 9;-;-
BELLEM 122;42;45
BELSELE 277;90;98
BERCHEM-ST-AG.-BERCHEM 1.012;281;262
BERINGEN 88;67;60
BERLAAR 403;238;208
BERTRIX 449;165;255
BERZEE 133;30;44
BEUZET 173;43;25
BEVEREN 1.548;256;303
BEVERLO 98;85;42
BIERGES-WALIBI 187;929;687
BIERSET-AWANS 151;64;61
BILZEN 680;216;313
BINCHE 390;271;236
BISSEGEM 290;191;223
BLANKENBERGE 1.899;1.704;2.063
BLANMONT 219;63;39
BLATON 508;221;164
BLERET 61;24;22
BOCKSTAEL 1.120;256;231
BOECHOUT 492;186;180
BOITSFORT/BOSVOORDE 1.077;261;208
BOKRIJK 247;103;183
BOMAL 201;153;100
BOOISCHOT 244;139;109
BOOM 569;175;157
BOONDAEL/BOONDAAL 929;119;116
BOORTMEERBEEK 614;189;218
BORDET 1.337;231;183
BORNEM 682;344;365
BOUSSU 175;97;102
BOUWEL 418;257;275
BRACQUEGNIES 127;47;33
BRAINE-l'ALLEUD 5.171;1.406;903
BRAINE-LE-COMTE 5.625;2.144;1.696
BRESSOUX 149;40;18
BRU. AIRPORT - ZAVENTEM 9.944;8.131;7.654
BRU.-CENT. 58.877;26.916;24.764
BRU.-CHAP./KAP. 244;-;-
BRU.-CONG. 541;-;-
BRU.-LUXEMBG 6.923;1.988;1.693
BRU.-MIDI/ZUID 58.344;33.469;32.344
BRU.-NOORD/NORD 60.449;20.825;17.991
BRU.-SCHUMAN 7.162;2.507;2.262
BRU.-WEST/OUEST 219;78;69
BRUGELETTE 522;166;156
BRUGGE 15.310;12.340;11.868
BRUGGE-SINT-PIETERS 104;62;77
BUDA 158;-;-
BUGGENHOUT 572;178;195
BUIZINGEN 694;242;124
BURST 1.168;110;113
CALLENELLE 28;-;-
CAMBRON-CASTEAU 271;405;452
CARLSBOURG 52;24;61
CARNIERES 159;67;41
CEROUX-MOUSTY 267;46;34
CHAPELLE-DIEU 91;-;-
CHAPOIS 35;12;7
CHARLEROI-CENTRAL 11.030;4.840;4.072
CHARLEROI-OUEST 153;21;49
CHASTRE 316;114;65
CHATEAU-DE-SEILLES 197;9;14
CHATELET 674;404;247
CHAUDFONTAINE 88;33;21
CHENEE 102;39;34
CINEY 2.137;969;1.048
COMBLAIN-LA-TOUR 215;33;64
COMINES/KOMEN 637;197;235
COO 147;97;155
COUILLET 187;-;-
COUR-SUR-HEURE 52;10;14
COURCELLES-MOTTE 285;59;53
COURRIERE 291;78;95
COURT-SAINT-ETIENNE 506;67;65
COUVIN 267;101;158
DAVE-SAINT-MARTIN 102;59;30
DE HOEK 214;235;79
DE PANNE 566;674;887
DE PINTE 1.685;473;473
DEINZE 2.006;1.088;1.106
DELTA 330;-;-
DENDERLEEUW 9.766;3.533;3.117
DENDERMONDE 4.873;1.353;1.371
DIEGEM 1.514;856;483
DIEPENBEEK 509;105;137
DIEST 2.995;678;682
DIKSMUIDE 686;257;466
DILBEEK 772;224;219
DINANT 1.286;768;823
DOLHAIN-GILEPPE 103;33;30
DRONGEN 405;75;78
DUFFEL 829;583;427
DUINBERGEN 167;244;154
ECAUSSINNES 726;386;277
EDE 576;66;65
EEKLO 881;378;398
EICHEM 187;56;48
EINE 310;129;68
EKE-NAZARETH 395;83;87
EKEREN 985;221;235
ENGHIEN/EDINGEN 3.561;1.233;1.112
ENGIS 252;59;48
EPPEGEM 978;326;242
ERBISOEUL 139;88;73
EREMBODEGEM 1.165;423;375
ERNAGE 109;42;44
ERPE-MERE 48;-;-
ERPS-KWERPS 339;116;89
ERQUELINNES 161;43;39
ERQUELINNES-VILLAGE 59;17;15
ESNEUX 463;140;181
ESSEN 1.161;405;355
ESSENE-LOMBEEK 482;131;121
ETTERBEEK 6.658;894;698
EUPEN 554;292;259
EVERE 482;81;87
EVERGEM 342;60;54
EZEMAAL 247;80;72
FAMILLEUREUX 100;-;-
FARCIENNES 251;66;63
FAUX 150;33;30
FEXHE-LE-HT-CLOCHER 180;41;32
FLAWINNE 130;48;50
FLEMALLE-GRANDE 129;30;42
