Station GareGem.;instappendetijdensweek;Gem.instappendeopzaterdag;Gem.instappendeopzondag  
AALST;5.883;2.220;1.872  
AALST-KERREBROEK;15;-;-  
AALTER;2.348;622;620  
AARSCHOT;5.804;2.243;1.758  
AARSELE;26;-;-  
ACREN;253;98;91  
AISEAU;147;71;73  
ALKEN;695;109;63  
AMAY;314;67;76  
AMPSIN;191;50;42  
ANDENNE;1.466;420;432  
ANDERLECHT;744;264;211  
ANGLEUR;1.051;290;227  
ANS;1.396;178;156  
ANSEREMME;124;30;29  
ANTOING;334;122;147  
ANTWERPEN-BERCHEM;15.447;11.010;10.014  
ANTWERPEN-CAAL;38.611;24.567;20.787  
ANTWERPEN-LUCHTBAL;858;176;104  
ANTWERPEN-NOORDERDOKKEN;147;38;26  
ANTWERPEN-ZUID;3.605;835;758  
ANZEGEM;247;-;-  
APPELTERRE;274;63;68  
ARCADES;106;-;-  
ARCHENNES;148;70;45  
ARLON;5.326;2.258;4.219  
ASSE;1.251;252;205  
ASSESSE;258;55;48  
ATH;4.985;1.866;1.967  
ATHUS;1.061;309;234  
AUBANGE;134;27;34  
AUVELAIS;638;179;145  
AYE;45;22;13  
AYWAILLE;367;155;194  
BAASRODE-ZUID;237;-;-  
BALEGEM-DORP;276;57;55  
BALEGEM-ZUID;171;37;56  
BALEN;290;91;64  
BAMBRUGGE;46;-;-  
BARVAUX;385;120;160  
BAS-OHA;72;20;19  
BASSE-WAVRE;458;94;94  
BEAURAING;269;115;172  
BEERNEM;597;135;155  
BEERSEL;303;-;-  
BEERVELDE;319;142;117  
BEGIJNENDIJK;309;158;113  
BEIGNEE;13;-;-  
BELLEM;132;59;46  
BELSELE;275;138;147  
BERCHEM-ST-AG.-BERCHEM;911;275;281  
BERINGEN;97;46;35  
BERLAAR;366;229;146  
BERTRIX;525;168;211  
BERZEE;122;28;30  
BEUZET;171;32;25  
BEVEREN;1.326;520;459  
BEVERLO;116;57;19  
BIERGES-WALIBI;196;1.198;655  
BIERSET-AWANS;159;50;53  
BILZEN;531;253;330  
BINCHE;395;256;256  
BISSEGEM;250;110;80  
BLANKENBERGE;1.606;1.206;1.192  
BLANMONT;188;52;39  
BLATON;523;328;258  
BLERET;58;17;22  
BOCKSTAEL;1.377;238;185  
BOECHOUT;533;188;158  
BOITSFORT/BOSVOORDE;930;239;136  
BOKRIJK;283;52;137  
BOMAL;275;109;142  
BOOISCHOT;286;159;81  
BOOM;581;199;191  
BOONDAEL/BOONDAAL;1.009;178;159  
BOORTMEERBEEK;569;193;157  
BORDET;1.754;307;272  
BORNEM;799;244;209  
BOUSSU;169;106;74  
BOUWEL;430;210;226  
BRACQUEGNIES;126;46;37  
BRAINE-l'ALLEUD;5.350;2.099;1.657  
BRAINE-LE-COMTE;6.080;1.678;1.536  
BRESSOUX;116;78;47  
BRU.AIRPORT-ZAVENTEM;10.774;6.945;6.764  
BRU.-CENT.;58.330;26.296;24.183  
BRU.-CHAP./KAP.;292;-;-  
BRU.-CONG.;571;-;-  
BRU.-LUXEMBG;8.273;2.788;2.283  
BRU.-MIDI/ZUID;58.380;31.871;29.804  
BRU.-NOORD/NORD;59.068;21.771;19.930  
BRU.-SCHUMAN;7.795;2.632;2.475  
BRU.-WEST/OUEST;216;106;81  
BRUGELETTE;544;133;93  
BRUGGE;18.185;11.494;12.292  
BRUGGE-SINT-PIETERS;106;54;52  
BUDA;139;-;-  
BUGGENHOUT;581;259;322  
BUIZINGEN;740;304;192  
BURST;1.139;211;199  
CALLENELLE;19;-;-  
CAMBRON-CASTEAU;241;420;207  
CARLSBOURG;86;49;58  
CARNIERES;199;50;45  
CEROUX-MOUSTY;229;31;35  
CHAPELLE-DIEU;75;-;-  
CHAPOIS;34;22;18  
CHARLEROI-CENTRAL;10.589;5.793;5.048  
CHARLEROI-OUEST;106;28;27  
CHASTRE;300;73;49  
CHATEAU-DE-SEILLES;164;22;18  
CHATELET;685;181;206  
CHAUDFONTAINE;98;58;27  
CHENEE;138;57;46  
CINEY;2.076;873;1.079  
COMBLAIN-LA-TOUR;156;112;39  
COMINES/KOMEN;469;140;127  
COO;187;146;179  
COUILLET;163;-;-  
COUR-SUR-HEURE;30;15;15  
COURCELLES-MOTTE;289;49;50  
COURRIERE;299;74;54  
COURT-SAINT-ETIENNE;716;95;153  
COUVIN;256;115;200  
